title,date,News
Complete list of states with no relaxation in lockdown 2.0 restrictions,"Updated: Apr 20, 2020 08:55 IST","<p>In his address to the nation on April 14, Prime Minister Narendra Modi extended the coronavirus lockdown till May 3. The Prime Minister also said that certain areas, non-coronavirus hotspots and regions that are not facing the threat of Covid-19 spread, can <a href=""https://www.hindustantimes.com/india-news/lockdown-relaxation-40-000-projects-to-start-in-bihar-highways-eateries-to-open/story-tBi8IHrxnWTCuXag2P4nfK.html"" title=""resume some activities"">resume some activities</a> from April 20. </p>,<p>Delhi Chief Minister Arvind Kejriwal on Sunday said that all 11 districts in the national capital are under the ‘hotspot’ category, therefore, keeping in mind the surge in Covid-19 cases in the national capital, <a href=""https://www.hindustantimes.com/india-news/lockdown-2-0-relaxations-here-s-what-you-can-do-and-cannot/story-UNK5Ll5rkXjVuWMDrEsr7K.html"" title=""lockdown restrictions"">lockdown restrictions</a> will not be eased in Delhi from April 20. </p>,<p>Maharashtra Chief Minister Uddhav Thackeray, on the other hand, said that if the economy remains shut, the country will bear significant losses. He allowed “some business activities” to resume in parts of the state from today.</p>,<p>Here’s taking a look at the states that have not given a nod to lockdown measures to be eased from today onwards.  These relaxations are not allowed in areas identified as Covid-19 hotspots or containment zones. </p>,<p><b>Delhi</b></p>,<p>The chief minister said that keeping in mind the present situation in the national capital, the administration has decided to provide no relaxation in the lockdown restrictions. “The situation will be reviewed again after a week,” he said.</p>,<p>“There are as many as 77 Covid-19 containment zones in Delhi at present and all districts are categorised as hotspots,” Kejriwal said.</p>,<p><b>Punjab</b></p>,<p>CM Amarinder Singh-led government on Sunday said that it will not allow any relaxation in the coronavirus lockdown in the state until it ends on May 3. The administration has, however, given a nod to wheat procurement.</p>,<p><b>Telangana</b></p>,<p><b></b>The state on Sunday became the first in the country to extend the lockdown beyond May 3. Chief Minister KC Rao said that the coronavirus lockdown in the state will remain May 7 and that no relaxation in measures will take place. He said that the administration will impose “stricter” lockdown measures in the state.</p>,<p><b>Karnataka</b></p>,<p><b></b>The government said it will not ease lockdown restrictions in “select” areas until April 22. The lockdown, without any ease in restrictions, will remain across the state till April 21 midnight while a decision on whether the lockdown will be extended in the state beyond May 7 will be taken today. </p>,<p>The Madhya Pradesh government has decided to ease lockdown measures only for regions free from coronavirus. The lockdown will remain in place for biggest Covid-19 hotspots in the state like Indore, Bhopal, Ujjain and other regions with coronavirus cases.  </p>"
‘I have come with corona’: Currency notes found outside houses in Bihar town,"Updated: Apr 12, 2020 15:55 IST","<p>The lockdown, imposed to check the spread of coronavirus disease <a href=""https://www.hindustantimes.com/topic/coronavirus"" title=""Covid-19"">Covid-19</a>, has led to some strange events in a small town in Bihar.</p>,<p>According to Hindustan Times’ Hindi language publication Live Hindustan, people are finding currency notes kept outside their homes along with a paper slip. A note scribbled on the piece of paper says ‘I have come with corona. Accept this note, otherwise I will harass everyone’, reported Live Hindustan. (<a href=""https://www.livehindustan.com/bihar/saharsa/story-saharsa-20-to-100-rupee-notes-being-found-at-the-door-of-houses-people-surprised-3144171.html"" title=""Read This Story in Hindi"">Read This Story in Hindi</a>)</p>,<p>The currency notes found outside the homes are of denominations 20, 50 and 100. And the handwriting used on the pieces of paper is similar, pointing towards the work of a single person, Live Hindustan quoted locals as saying.</p>,<p>So far, people from three houses have reported finding such currency notes and pieces of paper. This has been happening in the town since Friday.</p>,<p>The police have said that they are investigating the matter.</p>,<p>The spread of coronavirus has led to adoption of strict social distancing norms by the people, who are now averse to touching things which are potential carriers of the Sars-CoV-2 virus.</p>,<p>Last month, the Confederation of All India Traders (CAIT) had requested Finance Minister Nirmala Sitharaman to order investigation to assess chances of Covid-19 spreading through currency notes.</p>,<p>CAIT, an umbrella body representing about 50 million small traders, had also written a letter to Prime Minister Narendra Modi.</p>,<p>There is no scientific evidence or study to link spread of Covid-19 to currency notes. The Reserve Bank of India (RBI) has so far not issued any statement on avoiding the use of paper currency.</p>,<p>Meanwhile, the number of Covid-19 positive cases crossed the 8000-mark in India on Sunday. According to health ministry, 8,356 people have contracted the coronavirus disease and 273 have died across the country, with more than 900 cases and 34 deaths in the last 24 hours.</p>,<p>In Bihar, 63 confirmed Covid-19 cases have been reported from Bihar. One person has died due to the disease while 18 others have been cured, said the state Health Department in a statement.</p>"
"Covid-19 update: No blanket extension of any non-immigrant visas, says US on H-1B visas","Updated: Apr 15, 2020 12:05 IST","<p>The extension of non-immigrant visa holders, who are facing challenges as a direct result of the Covid-19 national emergency, might be provided special consideration or expedited processing on a case-by-case basis, the US said on Tuesday.</p>,<p>In the Indian context, non-immigrant visas prominently includes B-1 and B-2 visas for business or travel purposes, F-1 visas for students, J-1 visas for exchange visitors mainly research scholars and physicians, H-1B for IT professionals and L1 for intra company transferees in managerial or executive position.</p>,<p><b>Follow <a href=""https://liveupdates.hindustantimes.com/india/coronavirus-india-world-latest-news-covid-19-death-toll-april-15-2020-21586909473179.html"" title=""latest updates on coronavirus "" target=""_blank"">latest updates on coronavirus </a>here </b></p>,<p>The US Citizenship and Immigration Services (USCIS) on Tuesday said that has taken steps to help individuals, employers and others address some of the immigration-related challenges they face as a direct result of the Covid-19 national emergency.</p>,<p>“For those in the United States in need of an extension of their nonimmigrant stay, the USCIS may extend their stay depending on the circumstances,” a USCIS spokesperson told PTI.</p>,<p>“We may also provide special consideration or expedited processing for those who may need it on a case-by-case basis,” the official said.</p>,<p>The response from the USCIS, when asked about H-1B visas, indicated that there is no blanket extension of any non-immigrant visas during the ongoing Covid-19 pandemic crisis and that an individual needs to apply for the visa extension or stay in the US explaining their circumstances.</p>,<p>“When requested, the USCIS may provide special support to individuals who may be affected by the circumstances beyond their control,” the spokesperson said.</p>,<p>The USCIS, the spokesperson said, continues to analyse issues and other possible steps the agency may take to further address some of these challenges and will consider the public’s recommendations.</p>,<p>“We will continue to communicate any changes we make across multiple platforms to ensure the public is fully informed of the steps USCIS is taking to address the challenges resulting from this national emergency,” the spokesperson said.</p>,<p>The Department of Homeland Security earlier said it recognises that there are immigration-related challenges as a direct result of the coronavirus (Covid-19) pandemic.</p>,<p>“We continue to carefully analyse these issues and to leverage our resources to effectively address these challenges within our existing authorities. The DHS also continues to take action to protect the American people and our communities and is considering a number of policies and procedures to improve the employment opportunities of US workers during this pandemic,” it said.</p>,<p>“Generally, non-immigrants must depart the United States before their authorised period of admission expires. However, we recognise that non-immigrants may unexpectedly remain in the United States beyond their authorised period of stay due to Covid-19,” the notification said, adding that people could apply for a visa extension.</p>,<p>If applicants put in their forms within the specified time frame, their presence will not be taken as “unlawful” and where applicable, “employment authorisation with the same employer, subject to the same terms and conditions of the prior approval, is automatically extended for up to 240 days when an extension of stay request is filed on time,” the notification said.</p>,<p><b><a href=""https://www.hindustantimes.com/topic/coronavirus"" title=""Click here for complete coronavirus coverage "" target=""_blank"">Click here for complete coronavirus coverage </a></b></p>,<p>The US Citizen and Immigration Services (USCIS) added it “reminds petitioners and applicants that it can consider delays caused by the COVID-19 pandemic when deciding whether to excuse delays in filing documents based on extraordinary circumstances.”  According to rules, if an employer terminates the contract of an H-1B holder, the employee needs to find new employment within 60 days, in order to retain the visa status. Indian IT workers have been seeking an extension of this 60 day grace period to 180 days.</p>,<p>According to the USCIS, Indians are the biggest beneficiaries of the H-1B visa programme. </p>"
"Staggered breaks, no large meetings: New office rules during Covid-19 lockdown 2.0","Updated: Apr 15, 2020 13:21 IST","<p>The revised government <a href=""https://www.hindustantimes.com/india-news/govt-issues-revised-guidelines-for-covid-19-lockdown-what-s-mandatory-what-s-prohibited/story-0G8mfTuLQ3onwxvBhpxN2O.html"" title=""guidelines on coronavirus lockdown"">guidelines on coronavirus lockdown</a> carried an updated section for workplaces across the country. </p>,<p>These are applicable only to those workplaces that are functional under the guidelines issued by the government. </p>,<p>Besides the directive to conduct mandatory temperature screening, regular sanitising and disinfecting of workplace premises and providing hand santisers at convenient spots across the work floor, the Ministry of Home Affairs said that should people come to work, they must be put into shifts that have an hour in between and stagger their lunch breaks to ensure social distancing.</p>,<p>Large meetings, more than 10 people, will continue to be discouraged.  People must be seated at least 6 feet away from each other. Not more than 2-4 people are to be allowed in elevators.  </p>,<p>The MHA in its directive noted that those who are above 65-years of age and/or have co-morbidities must opt to work from home. Parents of children below the age of 5 years should also be encouraged to work from home during the lockdown which has been extended till May 3. </p>,<p>“Use of Arogya Setu app will be encouraged for all employees both private and public,” the MHA release read. </p>,<p>The government has directed all those reporting to work to be provided with a transport facility. Such vehicles should be sanitised and disinfected regularly and must carry only 30-40% of passenger capacity. </p>,<p>This comes a day after the coronavirus lockdown was extended till May 3 by Prime Minister Narendra Modi on Tuesday.</p>,<p>On Wednesday, the total number of <a href=""https://www.hindustantimes.com/india-news/maharashtra-cases-cross-3-000-delhi-death-toll-jumps-to-30-covid-19-state-tally/story-yhYfS41CgEYMdQkOFHKqfJ.html"" title=""Covid-19 cases in the country"">Covid-19 cases in the country</a> rose to 11,439. The figure includes 9,756 active cases, 1306 cured or discharged cases and 377 fatalities, the Ministry of Health stated. India has witnessed 38 deaths and 1076 new cases of coronavirus reported in the last 24 hours.</p>,<p> </p>,<p>  </p>"
Covid-19 outbreak: Call grows for law to protect doctors from violence,"Updated: Apr 20, 2020 11:27 IST","<p>As cases of violence against health care professionals increase, doctors’ associations have urged the central government to formulate more stringent laws. </p>,<p>Earlier this week, the Federation of Resident Doctors Association wrote to home minister Amit Shah, expressing concern over the attacks on doctors and medical staff at Lok Nayak Hospital in the national Capital and other states such as Madhya Pradesh, Uttar Pradesh and Telangana.</p>,<p>In a series of tweets, lawyer Sonali Jaitley Bakshi said her father, late Union minister Arun Jaitley, wanted to pursue the formation of a law to deal with the violence against health workers.</p>,<p>“Today, I want to talk about something VERY important! Our family has always had the utmost respect for doctors, nurses &amp; everyone in the medical profession. But recent attacks on these warriors brought back one of the final memories I shared with my father. When he was admitted to AIIMS, he often spoke of how kind the hospital staff was to him &amp; our family. Their love, patience, dedication was clear to see. However, it broke his heart to hear of patients’ families beating up doctors,” she tweeted.</p>,<p>Bakshi went on to add, “…He then told me that post-recovery, he’d pursue govt. to introduce a strict law punishing those who assault medical staff. Sadly he could not- but I want to fulfil his vision &amp; request GoI to pass this law soon. Friends, they save our lives - it’s time we stood up for them!” </p>"
"Coronavirus update: In Madhya Pradesh, Assam, chartered planes ferrying samples","Updated: Apr 21, 2020 10:31 IST","<p>A Beechcraft B 200 aircraft, which was otherwise used as official transport by the chief minister and governor of Madhya Pradesh, has become a key element to the state’s fight against the coronavirus disease (Covid-19), according to people familiar with the matter.</p>,<p>Starting this week, the six-seater<b></b>plane -- operated by pilots wearing hazmat suits -- is being used to carry test samples between big cities in the state and New Delhi to enable Madhya Pradesh go beyond its own testing capacity of 1,200 a day for the Sars-CoV-2, the virus which causes Covid-19.</p>,<p>“We realized that some coronavirus patients were dying in MP just after three-four days of hospital stay,’’ said Mohammed Suleiman, an IAS officer who last week took charge of the state health department. “We realized that they were coming too late. So we decided to step up testing and that’s why we need to send extra samples to ICMR (Indian Council of Medical Research) in Delhi.’’</p>,<p>In its third trip on Saturday, the Beechcraft carried 1,663 samples from Bhopal to Delhi, where they were taken to the National Centre for Disease Control (NCDC). Earlier in the week, 1,200 samples were carried from Indore to the national capital.</p>,<p>”ICMR and NCDC have kindly agreed to test 1,400 samples of MP state daily,’’ said the commissioner of the health department, Nishant Warwade. “The strategy is to send samples of all suspects for testing so that no one remains untested.”</p>,<p>Madhya Pradesh is not the only state to take the aerial route to enhance its testing capacity. While it has its own state plane, Assam has been using chartered planes to ferry samples at a time when all commercial and private flights were suspended following the imposition on March 25 by Prime Minister Narendra Modi of a 21-day national lockdown, which has not been extended till May 3.</p>,<p>The Assam government has also been hiring these planes at the cost of 70,000-90,000 rupees per hour to get supplies from the ICMR offices in Kolkata. </p>,<p>“We’ve been using a chartered plane since the beginning of the lockdown,’’ said Assam health minister Himanta Biswa Sarma. “We need to not just ferry samples for testing but also procure medical supplies from Kolkata, so we are using the plane on a daily basis.’’ </p>,<p>While the exact number of samples that Assam has sent were not available, Sarma said they have been using it daily since the lockdown.</p>,<p>The chartered services is also sometimes being used to ferry medical personnel from one district to another, Sarma added.</p>"
"Lockdown 2.0 relaxations: What’s allowed, what’s not","Updated: Apr 20, 2020 07:47 IST","<p>Several states will ease the Covid-19 lockdown restrictions for people and some sectors in line with the Centre’s guidelines to gradually reopen the country and restart the slowing economy from Monday.</p>,<p>These relaxations are, however, not allowed in areas identified as Covid-19 hotspots or containment zones. Moreover, at least three states—<a href=""https://www.hindustantimes.com/telangana/telangana-extends-lockdown-period-till-may-7-no-relaxations-allowed/story-POsqgXw6jwjruKGVqI2b5O.html"" title=""Telangana"">Telangana</a>, Punjab and <a href=""https://www.hindustantimes.com/india-news/covid-19-outbreak-curbs-in-delhi-won-t-be-eased-from-today/story-K3n2BLwyQpCpmX1d0O1UfO.html"" title=""Delhi"">Delhi</a>—decided on Sunday not to give any laxity in the lockdown restrictions.</p>,<p><b>What will be allowed from Monday: </b></p>,<p>* Private vehicles are allowed but only during emergencies like going to a veterinarian. Two people, the driver and one passenger at the back seat, can go out in a four-wheeler, but only one person is allowed on a two-wheeler</p>,<p>* Office can open with staggered shifts and lunch breaks and people will have to maintain a distance of 10 feet while working and will have to wear face masks. Offices have also been asked to install thermal screening and hand sanitisers.</p>,<p><a href=""https://www.hindustantimes.com/india-news/covid-curbs-relaxation-factories-to-run-at-limited-capacity/story-AjpzJvTK2eqpKtKNB6y5DP.html"" title=""Also Read: Covid curbs relaxation: Factories to run at limited capacity"">Also Read: Covid curbs relaxation: Factories to run at limited capacity</a></p>,<p>* IT companies have been allowed to call 50% of their staff to offices, other sectors have can call 33% of their workforce. More than four people should not be allowed in office lifts, and only big vehicles can be used during pickup and drop of employees</p>,<p>* People who are 65-years-old or more and those with children aged five years or less can work from home</p>,<p>* Amazon, Flipkart and other e-commerce platforms will be allowed to deliver only essential goods. Kirana and other grocery shops have been allowed but they will have to follow social distancing norms</p>,<p>* The government has also allowed select construction activities from Monday. The real estate firms, however, cannot bring labourers from outside any state</p>,<p>* Packaging and marketing of food products allowed but the companies involved in this business will have to follow social distancing. Brin kilns too have been allowed to operate</p>,<p>* Electricians, plumbers, motor mechanics, carpenter, courier services have been exempted from lockdown and can start operation. Cable and DTH workers can also carry out repair and augment supplies</p>,<p>* All goods can be transported from Monday. The Indian Railways’ goods trains are anyway operating during the lockdown to ensure supply of essential items</p>,<p>* Banks, ATMs, post offices, petrol and CNG pumps, hospitals, nursing homes, laboratories, medical equipment centres will continue to operate. Ambulances, doctors and scientists can also go from one state to another</p>,<p><b>What’s still prohibited:</b></p>,<p>* Movement of passenger traffic by rail, road and air—except in places where they have been exempted—have been kept out of the list of exemptions. Metro trains also cannot operate</p>,<p>* Taxis, auto-rickshaw and cab services will be shut till May 3</p>,<p>* Educational and related institutions, industrial, commercial activity and hospitality services, unless they are specially exempted, are allowed to open or resumed </p>,<p>* No cinema halls, malls, shopping complexes, gymnasiums, entertainment parks, sports complexes, bars, swimming pools, assembly halls or sports complexes can open </p>,<p>* No one can hold any kind of social, political, cultural, religious, entertainment, academic and sports gatherings</p>,<p>* Religious places, places of worship and religious congregations will also remain prohibited</p>,<p>* During funerals, more than 20 people cannot be congregate</p>"
On-off social distancing may be needed until 2022: Harvard study,"Updated: Apr 15, 2020 05:52 IST","<p>A one-time lockdown won’t halt the novel coronavirus and repeated periods of social distancing may be required into 2022 to prevent hospitals from being overwhelmed, Harvard scientists who modeled the pandemic’s trajectory said Tuesday.</p>,<p>Their study comes as the US enters the peak of its Covid-19 caseload and states eye an eventual easing of tough lockdown measures.</p>,<p>The Harvard team’s computer simulation, which was published in a paper in the journal Science, assumed that Covid-19 will become seasonal, like closely related coronaviruses that cause the common cold, with higher transmission rates in colder months.</p>,<p>But much remains unknown, including the level of immunity acquired by previous infection and how long it lasts, the authors said.</p>,<p>“We found that one-time social distancing measures are likely to be insufficient to maintain the incidence of SARS-CoV-2 within  the limits of critical care capacity in the United States,” lead author Stephen Kissler said in a call with reporters. </p>,<p>“What seems to be necessary in the absence of other sorts of treatments are intermittent social distancing periods,” he added.</p>,<p>Widespread viral testing would be required in order to determine when the thresholds to re-trigger distancing are crossed, said the authors.</p>,<p>The duration and intensity of lockdowns can be relaxed as treatments and vaccines become available. But in their absence, on and then off distancing would give hospitals time to increase critical care capacity to cater for the surge in cases that would occur when the measures are eased.</p>,<p>“By permitting periods of transmission that reach higher prevalence than otherwise would be possible, they allow an accelerated acquisition of herd immunity,” said co-author Marc Lipsitch.</p>,<p>Conversely, too much social distancing without respite can be a bad thing. Under one modeled scenario “the social distancing was so effective that virtually no population immunity is built,” the paper said, hence the need for an intermittent approach.</p>,<p>The authors acknowledged a major drawback in their model is how little we currently know about how strong a previously infected person’s immunity is and how long it lasts.</p>,<p><b>- Virus likely here to stay -</b></p>,<p>At present the best guesses based on closely-related coronaviruses are that it will confer some immunity, for up to about a year. There might also be some cross-protective immunity against Covid-19 if a person is infected by a common cold-causing betacoronavirus.</p>,<p>One thing however is almost certain: the virus is here to stay. The team said it was highly unlikely that immunity will be strong enough and last long enough that Covid-19 will die out after an initial wave, as was the case with the SARS outbreak of 2002-2003.</p>,<p>Antibody tests that have just entered the market and look for whether a person has been previously infected will be crucial in answering these vital questions about immunity, they argued, and a vaccine remains the ultimate weapon.</p>,<p>Outside experts praised the paper even as they emphasized how much remained unknown.</p>,<p>“This is an excellent study that uses mathematical models to explore the dynamics of Covid-19 over a period of several years, in contrast to previously published studies that have focused on the coming weeks or months,” Mark Woolhouse, an infectious disease epidemiologist at the University of Edinburgh said.</p>,<p>“It is important to recognize that it is a model; it is consistent with current data but is nonetheless based on a series of assumptions -- for example about acquired immunity -- that are yet to be confirmed.”</p>"
99-year-old WWII vet beats coronavirus in Brazil,"Updated: Apr 15, 2020 12:23 IST","<p>A 99-year-old World War II veteran in Brazil was released from hospital with military honours Tuesday after recovering from Covid-19.</p>,<p> Second Lieutenant Ermando Piveta, who served in the Brazilian artillery in Africa during World War II, was brought out of the Armed Forces Hospital in Brasilia to a burst of trumpet music and applause.</p>,<p> Wearing an army-green side cap, he raised his arms in the air as he left the hospital after eight days as a patient.</p>,<p> “He won another battle, this time against the new coronavirus. He was released from hospital the same day Brazil is commemorating the 75th anniversary of its troops’ successful campaign in the Battle of Montese in Italy during World War II,” the army said in a statement.</p>,<p> Piveta served in the army’s fourth artillery regiment, which trained in Dakar in 1942, soon after Brazil entered the war on the side of the Allies, the army said.</p>,<p>He then returned to Brazil with his regiment to defend the country from an Axis invasion that never came to be.</p>,<p> Brazil is the hardest-hit country in Latin America in the coronavirus pandemic, with 1,532 deaths so far. </p>"
"No evidence of coronavirus being airborne, says ICMR’s top scientist","Updated: Apr 05, 2020 17:51 IST","<p>With the number of <a href=""https://www.hindustantimes.com/india-news/how-high-level-govt-group-has-stepped-up-efforts-to-fight-covid-19/story-wxjYujbnfnb562eE89Nc7J.html"" title=""coronavirus"">coronavirus</a> cases in India now doubling in just over four days as the pandemic continues to spread the Indian Council of Medical Research (ICMR) said Sunday that there was no evidence of the virus being airborne.</p>,<p>“There is no evidence of coronavirus being airborne,” Dr Raman Gangakhedkar, Head Scientist, (ICMR) said at the government’s daily briefing.</p>,<p>Coronavirus spreads primarily through droplets generated when an infected person coughs or sneezes, or through droplets of saliva or discharge from the nose. </p>,<p><a href=""https://liveupdates.hindustantimes.com/india/india-coronavirus-latest-india-world-news-covid-19-death-toll-april-5-2020-21586044010375.html"" title=""Follow coronavirus live updates here."">Follow coronavirus live updates here.</a></p>,<p>Last month, the World Health Organization had said that there is not sufficient evidence to suggest that SARS-CoV-2 is airborne, except in a handful of medical contexts, such as when intubating an infected patient.</p>,<p>On Sunday, the number of coronavirus cases in India climbed to 3,374 and seventy nine people have lost their lives so far while 267 people have recovered, <a href=""https://www.hindustantimes.com/india-news/coronavirus-update-india-s-covid-19-cases-climb-to-3-374-death-toll-goes-up-to-79-says-health-ministry/story-GA3dyS1tIwVlIfYPbwF92M.html"" title=""Lav Aggarwal"">Lav Aggarwal</a>, joint secretary, health ministry said at the briefing.</p>,<p>Aggarwal also said the <a href=""https://www.hindustantimes.com/india-news/eight-malaysian-nationals-linked-to-nizamuddin-jamaat-deboarded-from-rescue-flight/story-Ho9KlEFxZyUoNI29MJzvsO.html"" title=""Tablighi Jamaat"">Tablighi Jamaat</a> event in Delhi last month contributed largely to the rapid rise in infections recently.</p>,<p>“Covid-19 cases doubled in 4.1 days presently.... had Tablighi Jamaat incident not happened it would have taken 7.4 days,” he said.</p>"
